date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:54	720/720	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2009:48:55%20GMT	https://rtp-a6.polapasar123.co/robots.txt		(from )
16:48:55	591800/591800	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2002:47:14%20GMT	https://rtp-a6.polapasar123.co/	D:/EXC98/rtp-a6.polapasar123.co/index.html	(from )
16:48:55	194919/194919	---MCZ	200	added ('OK')	text/css	date:Sat,%2004%20May%202024%2002:47:14%20GMT	https://rtp-a6.polapasar123.co/css/bootstrap.min.css	D:/EXC98/rtp-a6.polapasar123.co/css/bootstrap.min.css	(from https://rtp-a6.polapasar123.co/)
16:48:55	1780/1780	---MCZ	200	added ('OK')	text/css	date:Sat,%2004%20May%202024%2002:47:14%20GMT	https://rtp-a6.polapasar123.co/css/responsive.css	D:/EXC98/rtp-a6.polapasar123.co/css/responsive.css	(from https://rtp-a6.polapasar123.co/)
16:48:55	29698/29698	---MCZ	200	added ('OK')	text/css	etag:W/%2263be5f43-7402%22	https://cdn.lineicons.com/4.0/lineicons.css	D:/EXC98/cdn.lineicons.com/4.0/lineicons.css	(from https://rtp-a6.polapasar123.co/)
16:48:56	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	D:/EXC98/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://rtp-a6.polapasar123.co/)
16:48:56	18065/18065	---MCZ	200	added ('OK')	text/css	date:Sat,%2004%20May%202024%2002:47:14%20GMT	https://rtp-a6.polapasar123.co/cdn.jsdelivr.net/npm/swiper%409/swiper-bundle.min.css	D:/EXC98/rtp-a6.polapasar123.co/cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.css	(from https://rtp-a6.polapasar123.co/)
16:48:56	7262/7262	---MCZ	200	added ('OK')	text/css	date:Sat,%2004%20May%202024%2002:47:14%20GMT	https://rtp-a6.polapasar123.co/css/rtp-dark.css?id=pasar123	D:/EXC98/rtp-a6.polapasar123.co/css/rtp-dark9bf8.css	(from https://rtp-a6.polapasar123.co/)
16:48:57	935482/935482	---M--	200	added ('OK')	image/gif	etag:%2203246f99f4f4cd9f673f92fc183b8276%22	https://cdn.rbtasset.com/assets/tpl/7f83adce4a/images/logo-final.gif	D:/EXC98/cdn.rbtasset.com/assets/tpl/7f83adce4a/images/logo-final.gif	(from https://rtp-a6.polapasar123.co/)
16:48:57	53064/53064	---M--	200	added ('OK')	image/webp	date:Sat,%2004%20May%202024%2002:47:14%20GMT	https://rtp-a6.polapasar123.co/banner/banner1-pasar123.webp	D:/EXC98/rtp-a6.polapasar123.co/banner/banner1-pasar123.webp	(from https://rtp-a6.polapasar123.co/)
